Date,open,high,low,close,adj close,volume
2023-01-16,20882.224609375,21360.875,20715.74609375,21169.6328125,21169.6328125,26792494050
2023-01-17,21175.833984375,21438.66015625,20978.533203125,21161.51953125,21161.51953125,24999983362
2023-01-18,21161.05078125,21564.501953125,20541.544921875,20688.78125,20688.78125,30005625418
2023-01-19,20686.74609375,21163.01171875,20685.380859375,21086.79296875,21086.79296875,21152848261
2023-01-20,21085.373046875,22692.357421875,20919.126953125,22676.552734375,22676.552734375,28799154319
2023-01-21,22677.427734375,23282.34765625,22511.833984375,22777.625,22777.625,32442278429
2023-01-22,22777.986328125,23056.73046875,22387.900390625,22720.416015625,22720.416015625,24746386230
2023-01-23,22721.087890625,23126.486328125,22654.3046875,22934.431640625,22934.431640625,26518700512
2023-01-24,22929.626953125,23134.01171875,22549.744140625,22636.46875,22636.46875,26405069715
2023-01-25,22639.267578125,23722.099609375,22406.076171875,23117.859375,23117.859375,30685366709
2023-01-26,23108.955078125,23237.078125,22911.373046875,23032.77734375,23032.77734375,26357839322
2023-01-27,23030.716796875,23417.720703125,22654.59375,23078.728515625,23078.728515625,25383335641
2023-01-28,23079.96484375,23165.896484375,22908.845703125,23031.08984375,23031.08984375,14712928379
2023-01-29,23031.44921875,23919.890625,22985.0703125,23774.56640625,23774.56640625,27423687259
2023-01-30,23774.6484375,23789.34765625,22657.58203125,22840.138671875,22840.138671875,27205595568
2023-01-31,22840.796875,23225.021484375,22765.568359375,23139.283203125,23139.283203125,22837828665
2023-02-01,23137.8359375,23764.5390625,22877.75,23723.76953125,23723.76953125,26683255504
2023-02-02,23720.82421875,24167.2109375,23468.595703125,23471.87109375,23471.87109375,32066936882
2023-02-03,23469.412109375,23678.103515625,23279.955078125,23449.322265625,23449.322265625,27083066007
2023-02-04,23446.3203125,23556.94921875,23291.794921875,23331.84765625,23331.84765625,15639298538
2023-02-05,23332.248046875,23423.435546875,22841.759765625,22955.666015625,22955.666015625,19564262605
2023-02-06,22954.021484375,23119.279296875,22692.025390625,22760.109375,22760.109375,23825006542
2023-02-07,22757.267578125,23310.974609375,22756.2578125,23264.291015625,23264.291015625,27187964471
2023-02-08,23263.416015625,23367.958984375,22731.09765625,22939.3984375,22939.3984375,25371367758
2023-02-09,22946.56640625,22996.4375,21773.974609375,21819.0390625,21819.0390625,32572572185
2023-02-10,21819.005859375,21941.185546875,21539.392578125,21651.18359375,21651.18359375,27078406594
2023-02-11,21651.841796875,21891.41015625,21618.44921875,21870.875,21870.875,16356226232
2023-02-12,21870.90234375,22060.994140625,21682.828125,21788.203125,21788.203125,17821046406
2023-02-13,21787.0,21898.4140625,21460.087890625,21808.1015625,21808.1015625,23918742607
2023-02-14,21801.822265625,22293.140625,21632.39453125,22220.8046875,22220.8046875,26792596581
2023-02-15,22220.5859375,24307.841796875,22082.76953125,24307.841796875,24307.841796875,32483312909
2023-02-16,24307.349609375,25134.1171875,23602.5234375,23623.474609375,23623.474609375,39316664596
2023-02-17,23621.283203125,24924.041015625,23460.755859375,24565.6015625,24565.6015625,41358451255
2023-02-18,24565.296875,24798.8359375,24468.373046875,24641.27734375,24641.27734375,19625427158
2023-02-19,24640.02734375,25093.0546875,24327.642578125,24327.642578125,24327.642578125,25555105670
2023-02-20,24336.623046875,25020.458984375,23927.91015625,24829.1484375,24829.1484375,28987376573
2023-02-21,24833.048828125,25126.8515625,24200.36328125,24436.353515625,24436.353515625,31252098714
2023-02-22,24437.41796875,24472.33984375,23644.318359375,24188.84375,24188.84375,30199996781
2023-02-23,24190.71875,24572.08984375,23693.919921875,23947.4921875,23947.4921875,30476264066
2023-02-24,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23198.126953125,26811744928
2023-02-25,23200.125,23210.2109375,22861.55859375,23175.375,23175.375,16100721565
2023-02-26,23174.150390625,23654.3671875,23084.220703125,23561.212890625,23561.212890625,16644534842
2023-02-27,23561.451171875,23857.890625,23205.87890625,23522.87109375,23522.87109375,22660763494
2023-02-28,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23147.353515625,20535363434
2023-03-01,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23646.55078125,24662841200
2023-03-02,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23475.466796875,20386398516
2023-03-03,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22362.6796875,26062404610
2023-03-04,22362.923828125,22405.177734375,22198.98046875,22353.349609375,22353.349609375,11166012913
2023-03-05,22354.14453125,22613.685546875,22307.142578125,22435.513671875,22435.513671875,13317001733
2023-03-06,22436.81640625,22584.29296875,22331.314453125,22429.7578125,22429.7578125,17353192895
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22219.76953125,22765452204
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21718.080078125,22536575684
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20363.021484375,30364664171
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,20187.244140625,39578257695
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20632.41015625,30180288176
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,22163.94921875,29279035521
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,24197.533203125,49466362688
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,24746.07421875,54622230164
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24375.9609375,43655701450
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,25052.7890625,33866061747
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,27423.9296875,50730261335
2023-03-18,27448.1171875,27725.953125,26636.26171875,26965.87890625,26965.87890625,35723036817
2023-03-19,26969.50390625,28440.560546875,26907.716796875,28038.67578125,28038.67578125,37769448859
2023-03-20,28041.6015625,28527.724609375,27242.880859375,27767.236328125,27767.236328125,44774027664
2023-03-21,27768.392578125,28439.5625,27439.646484375,28175.81640625,28175.81640625,36102192830
2023-03-22,28158.720703125,28803.3359375,26759.99609375,27307.4375,27307.4375,33382021890
2023-03-23,27301.95703125,28729.84375,27183.36328125,28333.97265625,28333.97265625,24220433689
2023-03-24,28324.111328125,28388.4375,27039.265625,27493.28515625,27493.28515625,25980310960
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,27494.70703125,13383005987
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,27994.330078125,13878363192
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,27139.888671875,18188895178
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,27268.130859375,17783600385
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,28348.44140625,20684945906
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,28033.5625,22435349951
2023-03-31,28032.26171875,28639.896484375,27583.71484375,28478.484375,28478.484375,19001327598
2023-04-01,28473.33203125,28802.45703125,28297.171875,28411.03515625,28411.03515625,10876469901
2023-04-02,28462.845703125,28518.958984375,27884.087890625,28199.30859375,28199.30859375,12284641999
2023-04-03,28183.080078125,28475.623046875,27276.720703125,27790.220703125,27790.220703125,19556501327
2023-04-04,27795.2734375,28433.7421875,27681.3046875,28168.08984375,28168.08984375,15284538859
2023-04-05,28169.7265625,28739.23828125,27843.763671875,28177.984375,28177.984375,17052315986
2023-04-06,28175.2265625,28178.384765625,27738.759765625,28044.140625,28044.140625,13837809380
2023-04-07,28038.966796875,28111.59375,27794.03125,27925.859375,27925.859375,10861680497
2023-04-08,27920.513671875,28159.86328125,27883.38671875,27947.794921875,27947.794921875,9373255556
2023-04-09,27952.3671875,28532.830078125,27828.48046875,28333.05078125,28333.05078125,12175322951
2023-04-10,28336.02734375,29771.46484375,28189.271484375,29652.98046875,29652.98046875,19282400094
2023-04-11,29653.6796875,30509.083984375,29609.30078125,30235.05859375,30235.05859375,20121259843
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.052734375,30139.052734375,18651929926
2023-04-13,29892.740234375,30539.845703125,29878.623046875,30399.06640625,30399.06640625,17487721001
2023-04-14,30409.5625,31005.607421875,30044.498046875,30485.69921875,30485.69921875,22659995079
2023-04-15,30490.75,30601.740234375,30245.8828125,30318.49609375,30318.49609375,11940685378
2023-04-16,30313.685546875,30407.3984375,30191.646484375,30287.666015625,30287.666015625,11509629952
